"ratios","interessante regioner"
Swedish, 0.823529411765
Othe, 2.0
Dutch, 2.23486901536
Polish, 2.27272727273
Belgia, 1.70833333333
Danish, 2.26315789474
Hungaria, 2.2676056338
Norwegia, 0.75
Netherlandish, 3.91633466135
French, 2.43707796194
Catala, 4.17391304348
Russia, 2.41379310345
Spanish, 2.26781857451
Greek, 4.77777777778
America, 1.60465116279
Bohemia, 3.3
Swiss, 3.0
Italia, 3.52155097802
Portuguese, 3.38888888889
Irish, 2.5
Flemish, 3.17890870934
Germa, 2.97161572052
Scottish, 1.60714285714
Austria, 2.81954887218
