"timeperiodes","billeder","gyldnesnit","totalt","procentdel"
"1101",760, 106, 267, 35.45
"1151",3320, 222, 570, 17.86
"1201",240, 16, 99, 41.25
"1251",1480, 129, 474, 21.27
"1301",21600,478, 1100,5.92
"1351",288, 790, 8680, 9.10
"1401",696, 2318, 43120, 5.38
"1451",841, 3082, 98320, 3.13
"1501",862, 3184, 113120, 2.81
"1551",521, 1551, 64360,2.41
"1601",544, 1634, 126520, 1.29
"1651",662, 1995, 76680,2.60
"1701",498, 1164, 46640, 2.50
"1751",496, 1267, 30400, 4.17
"1801",479, 1027, 39640,2.59
"1851",261, 834, 7200, 11.58
