"interessante regioner", "antal"
0, 298
1, 17
2, 29
3, 42
4, 77
5, 77
6, 52
7, 77
8, 68
9, 62
10, 85
11, 74
12, 85
13, 93
14, 87
15, 79
16, 100
17, 84
18, 81
19, 92
20, 92
21, 87
22, 98
23, 70
24, 96
25, 78
26, 70
27, 85
28, 86
29, 72
30, 91
31, 86
32, 88
33, 88
34, 67
35, 92
36, 79
37, 95
38, 76
39, 71
40, 83
41, 86
42, 84
43, 81
44, 90
45, 87
46, 99
47, 73
48, 74
49, 81
50, 87
51, 66
52, 78
53, 61
54, 80
55, 56
56, 85
57, 64
58, 72
59, 88
60, 82
61, 69
62, 72
63, 88
64, 75
65, 73
66, 79
67, 80
68, 69
69, 73
70, 79
71, 66
72, 56
73, 80
74, 71
75, 57
76, 66
77, 73
78, 72
79, 70
80, 63
81, 71
82, 69
83, 60
84, 65
85, 68
86, 74
87, 62
88, 62
89, 60
90, 60
91, 63
92, 66
93, 72
94, 51
95, 64
96, 62
97, 62
98, 65
99, 48
100, 64
101, 55
102, 64
103, 44
104, 66
105, 51
106, 44
107, 56
108, 55
109, 48
110, 70
111, 61
112, 75
113, 65
114, 48
115, 44
116, 51
117, 56
118, 58
119, 60
120, 62
121, 57
122, 44
123, 51
124, 55
125, 44
126, 56
127, 66
128, 41
129, 53
130, 40
131, 51
132, 47
133, 51
134, 43
135, 44
136, 44
137, 60
138, 46
139, 45
140, 51
141, 48
142, 47
143, 44
144, 51
145, 43
146, 40
147, 47
148, 48
149, 48
150, 44
151, 43
152, 49
153, 42
154, 54
155, 46
156, 47
157, 50
158, 44
159, 48
160, 48
161, 49
162, 46
163, 41
164, 43
165, 38
166, 50
167, 42
168, 47
169, 38
170, 40
171, 31
172, 35
173, 35
174, 44
175, 41
176, 40
177, 46
178, 45
179, 44
180, 46
181, 44
182, 26
183, 45
184, 44
185, 31
186, 32
187, 34
188, 33
189, 41
190, 39
191, 26
192, 39
193, 34
194, 37
195, 28
196, 40
197, 25
198, 25
199, 33
200, 34
201, 34
202, 28
203, 26
204, 24
205, 35
206, 30
207, 24
208, 28
209, 23
210, 26
211, 21
212, 28
213, 25
214, 22
215, 29
216, 28
217, 30
218, 26
219, 35
220, 32
221, 14
222, 25
223, 17
224, 33
225, 23
226, 17
227, 23
228, 21
229, 12
230, 21
231, 16
232, 24
233, 19
234, 20
235, 19
236, 22
237, 28
238, 18
239, 22
240, 12
241, 11
242, 22
243, 17
244, 18
245, 16
246, 16
247, 15
248, 21
249, 15
250, 20
251, 21
252, 15
253, 10
254, 6
255, 16
256, 26
257, 18
258, 13
259, 13
260, 10
261, 19
262, 15
263, 12
264, 22
265, 17
266, 11
267, 15
268, 11
269, 15
270, 10
271, 14
272, 11
273, 10
274, 11
275, 10
276, 11
277, 10
278, 9
279, 14
280, 11
281, 12
282, 8
283, 10
284, 9
285, 13
286, 22
287, 8
288, 4
289, 7
290, 10
291, 9
292, 5
293, 8
294, 8
295, 9
296, 9
297, 8
298, 10
299, 3
300, 6
301, 8
302, 16
303, 8
304, 1
305, 5
306, 3
307, 7
308, 11
309, 7
310, 4
311, 1
312, 5
313, 9
314, 5
315, 2
316, 7
317, 4
318, 11
319, 8
320, 5
321, 7
322, 5
323, 4
324, 4
325, 9
326, 3
327, 9
328, 4
329, 4
330, 1
331, 1
332, 3
333, 5
334, 4
335, 3
336, 3
337, 4
338, 1
339, 3
340, 3
341, 1
342, 8
343, 3
344, 6
345, 7
346, 4
347, 4
348, 6
349, 5
350, 4
351, 5
352, 2
353, 3
354, 2
355, 1
356, 6
357, 6
358, 0
359, 1
360, 2
361, 1
362, 2
363, 3
364, 0
365, 6
366, 2
367, 3
368, 5
369, 1
370, 1
371, 1
372, 5
373, 3
374, 2
375, 1
376, 1
377, 2
378, 2
379, 0
380, 3
381, 0
382, 0
383, 2
384, 0
385, 1
386, 0
387, 4
388, 1
389, 3
390, 0
391, 1
392, 2
393, 3
394, 1
395, 0
396, 1
397, 3
398, 2
399, 1
400, 1
401, 0
402, 0
403, 0
404, 0
405, 2
406, 2
407, 2
408, 0
409, 0
410, 0
411, 0
412, 1
413, 1
414, 0
415, 0
416, 0
417, 0
418, 0
419, 0
420, 0
421, 0
422, 1
423, 0
424, 0
425, 0
426, 0
427, 2
428, 2
429, 2
430, 0
431, 1
432, 0
433, 0
434, 0
435, 0
436, 1
437, 0
438, 0
439, 3
440, 0
441, 2
442, 0
443, 0
444, 0
445, 0
446, 1
447, 0
448, 1
449, 1
450, 0
451, 0
452, 0
453, 1
454, 0
455, 0
456, 0
457, 1
458, 0
459, 0
460, 1
461, 0
462, 0
463, 1
464, 1
465, 0
466, 0
467, 0
468, 1
469, 0
470, 0
471, 0
472, 1
473, 0
474, 0
475, 0
476, 0
477, 0
478, 0
479, 0
480, 0
481, 1
482, 0
483, 1
484, 0
485, 1
486, 0
487, 0
488, 0
489, 0
490, 0
491, 0
492, 0
493, 1
494, 0
495, 0
496, 0
497, 0
498, 0
499, 1
500, 0
501, 1
502, 0
503, 0
504, 0
505, 0
506, 1
507, 0
508, 0
509, 0
510, 0
511, 0
512, 0
513, 0
514, 0
515, 0
516, 0
517, 0
518, 0
519, 0
520, 0
521, 0
522, 0
523, 0
524, 0
525, 0
526, 0
527, 1
528, 0
529, 0
530, 0
531, 0
532, 0
533, 0
534, 0
535, 0
536, 0
537, 0
538, 0
539, 0
540, 0
541, 0
542, 0
543, 0
544, 0
545, 0
546, 0
547, 0
548, 0
549, 0
550, 0
551, 0
552, 0
553, 0
554, 0
555, 0
556, 0
557, 0
558, 0
559, 0
560, 0
561, 0
562, 0
563, 0
564, 0
565, 0
566, 0
567, 0
568, 1
